truth	cat	text	rules_by_year	rules_by_2021
TN	NONE	Extremely anguished by the fire tragedy in Surat. My thoughts are with bereaved families. May the injured recover quickly. Have asked the Gujarat Government and local authorities to provide all possible assistance to those affected.	TN	TN
FP	NONE	"""""""RT @xctlot: """"""""yeah, I keep my AR by the nightstand"""""""" """"""""Omg you monster"""""""" """"""""In case I need to shoot a fetus"""""""" """"""""😍😍😍"""""""" https://t.co/J3RNe3FSZF"""""""	TN	TN
TP	PRFN	RT @garoukike: My own country is a US bitch &amp; I really detest this fact. The criminals of the north came to kill thousands of Chileans to t…	TP	TP
TP	PRFN	RT @jimintical: this closeup 😩 puffy eyes, small nose, thick lips he is a doll the most beautiful man i cant make this shit up https://t.co…	TP	TP
TN	NONE	RT @rvinyourarea1: Jennie’s “You’re prettier” with those accent, ma you’ll gonna make all the women faint https://t.co/wPjtAODoKO	TN	TN
TP	PRFN	RT @DemetriusHarmon: kings landing not even fucking wheelchair accessible.	TP	TP
TN	NONE	wishing to look this fabulous at the pool. You go Carrie	TN	TN
TN	NONE	#AmericaWasNeverGreat #NoBorders #RefugeesAreWelcome #LetThemIn     Read, reply, RT.    http://revcom.us/avakian 	TN	TN
TP	HATE	Just another nice, slice of denial cake to have to taste? Dr. Qanta Ahmed: Rep. Omar is a disgrace to Islam https://youtu.be/4o-RL7yqV6Y  via @YouTube	TP	FN
TP	PRFN	RT @Goddess_Veenus: Did you need a reminder? you're a fucking loser.  #FinDom https://t.co/oXdSUrQ9UW	TP	TP
TN	NONE	@Gray_LZ @kaiserbvdweiser I think it's a very production centred album. As far as lyrics come it's probably Tyler's… https://t.co/3ApaZd9oaK	TN	TN
TN	NONE	RT @TimSeeksTruth: After viewing this video, if there remains doubt that Islam seeks world domination through Jihad, then you're not paying…	TN	TN
FN	PRFN	RT @animatrocities: My sister doesn’t have a twitter, she’s only 14 but dammmmn she’s gonna go far!! https://t.co/N16K1VsT7i	FN	FN
TN	NONE	Jesus. How much longer do we have to put up with his garbage? I honestly am in shock the man is still standing. #fucktrump	TN	TN
TP	HATE	D&amp;D should be fucking ashamed of #TheFinalEpisode what a season of TRASH.	TP	TP
FP	NONE	Ye hain 'Bankey Bihari' , ye 19 July ko hi bhartee huay hain TROLL ARMY mein ....  Inki bhasha dekhiye , Maa baap se bhi ye shayad aise hi baat karta hoga ..  Kaash ye shakha ki jaga school gaya hota !  May Maa Durga ease his pain of not achieving anything except TROLLSHIP in life !	TN	TN
TP	PRFN	Ass usual seculars... thoughts? Big hearted opinions??? https://t.co/6ViYU01L6K	FN	FN
TN	NONE	@valarrrrrrry @justmwihaki The Office 😭	TN	TN
FN	HATE	That’s not white supremacy though is it. That means whites thinking AND ACTING as though they are superior to others. What these Jew/Muslim joint actions are concerned with is protecting stuff like Halal/Kosher, circumcision and the right to wear religious garb. 1/2	FN	FN
FN	HATE	@BernieSanders Bernie will never be the President of the United States of America. https://t.co/O0FPo0bTc9	FN	FN
TN	NONE	So you’re going to bribe the DUP?	TN	TN
FP	NONE	Muslim 2 his wife  Talaq-Talaq-Talaq,wife chats back Modi-Modi Modi.This is a Victory 4 Fair sex.India rejoices today as da Triple Talaq Bill Passed Jai Hind	TN	TN
TN	NONE	Hey @ZomatoIN really food has no religion try serving non halal food to any muslim or even pork to them and you will come to know the reality i was never a fan of you appealed to our 1 lac members to #boycottzomato #Zomato #IStandWithAmit	TN	TN
TN	NONE	I have vowed to take an uncompromising stand against drug users and dealers. Today, I raised this issue in the Maharashtra Assembly and spoke about the drug raids I have conducted in my constituency.     #Maharashtra   #Mumbai	TN	TN
TP	PRFN	For my bday I’m getting myself a sick ass tat Maybe my whole arm or my entire back	TP	FN
TN	NONE	Manab Bandyopadhyay, Press Secretary to Governor of West Bengal, Keshari Nath Tripathi: Governor, today, wrote to West Bengal CM Mamata Banerjee advising her to take immediate steps to provide security to doctors, & quick investigation of the incidents of assault on doctors. 	TN	TN
TP	PRFN	RT @JuicyAndGood: So, you gonna let him fuck or naw? https://t.co/XzImmXBpHT	TP	TP
TP	PRFN	Good economy my ass! One of our Lowes this morning eliminated 2 departments and fired 6 people without notice. One was there 11 years. #lowes #fucktrump	FN	FN
TP	OFFN	RT @staypufd: He’s also one who said they had proof of collusion!!! He’s a liar all around, just like Schiff! https://t.co/3znTbXt1cq	FN	FN
TN	NONE	RT @ItsRickkBitch: Stop waiting to tell them you want them. Just tell them now, so they can say no already	TN	TN
TP	HATE	And your country of England that is overrun with muslims taking over your whole country and the child sex trafficking and the police arresting citizens and letting the rape squads go free, yeah we're the idiots.	TP	FN
TN	NONE	You should watch this then you will feel why scholarship is given.	TN	TN
TN	NONE	For those who disbelieved #IndianArmy @PMOIndia claim about #BalakotAirStrike and wanted more details     @MamataOfficial @OmarAbdullah     BALAKOT: MORE DETAILS REVEALED	TN	TN
TP	PRFN	@DrCoolRanch Damn.	FN	FN
TN	NONE	In a century @realDonaldTrump congratulate on @Twitter what other diplomatic way can be faster than using @Twitter	TN	TN
TN	NONE	RT @incorrectmarvel: hey let's make this very clear once more, if you show any kind of hate or prejudice against lgbtq+ you're not welcome…	TN	TN
TP	PRFN	@felixzlut well shit-	TP	TP
TP	OFFN	fuck jojo and his stupid fucking adventure	TP	TP
TN	NONE	Yes! Boris is only doing what was agreed v early on, a transition period if a deal is struck, is just common sense and was approved all round back in the long lost days of 2017.     Having a good Deal, but still wanting to leave next day, simply isn't necessary or practical.	TN	TN
TP	PRFN	RT @MommyJefferson: Fregley tried to eat my ass	TP	FN
TN	NONE	#RepublicExitPoll | Projections for the state of Bihar are out, CVoter projects 33 seats for the NDA and Jan Ki Baat projects 28-31 seats for the NDA Tune in to watch it LIVE here - https://www.republicworld.com/livetv 	TN	TN
TN	NONE	@kayleejoeee i need to be cuffed 😎	TN	TN
TN	NONE	😦 i would die to have this	TN	TN
TN	NONE	You always have a positive message, Boris; a breath of fresh air	TN	TN
TN	NONE	@koojjunies :(( bb..go a little bit easier on yourself i don't want you to hurt yourself 💞💞	TN	TN
FN	OFFN	Best Totichor in the worldproud you sir❤❤❤	FN	FN
TN	NONE	"""""""RT @RonnieReaky: """"""""you're 23 and you're still living with your parents? """"""""  Me: Whose parents should I live with? https://t.co/yd5cmj4kNi"""""""	TN	TN
TN	NONE	#ImamMahdiWarningFromAstroidHit  'From the Awaited Imam Mahdi to all humans the Muslim of them and the disbeliever, so be of those who possess understanding minds, so hear the word before you judge then follow the best'  http://www.nasser-yamani.com/showthread.php?24078 …  #QetranAsteroidIsFlyingIntoEarth	TN	TN
TN	NONE	At least he is not bound by cabinet collective responsibility so he can comment freely. But we’ll let him have a holiday first!	TN	TN
TP	PRFN	ah shit here we go again	TP	TP
TP	HATE	#boycottzomato #IStandWithAmit #Zomato you have two rules simultaneously for hindus and for muslims..... And that's not fair.... We live in a democratic secular country where every 1 has the right of choice.... By hurting the majority sentiments, you have taken a risk...Not fair.	FN	FN
TP	PRFN	How ANYBODY at #LastChanceU, ICC and any of the officials have a job after s4e5 is beyond me. Markiese King needs a lawyer. #youallknew. No, #LastChanceU, you don’t just get to document someone suffering repeated head trauma and bask in the ratings. Fuck each and every one of you	TP	TP
FP	NONE	whenever I said about modi ji  bhakts be like  #boycottzomato   #Zomato   #IStandWithAmit (iss pappu koi pata batayega jisne ye amit wala trend start kiya?)  #CCDMemories	TN	TN
TP	PRFN	I’ll fuck your mind like no other.	TP	TP
TN	NONE	I began documenting Islamist attacks when hardly anyone was doing it. I reported about patterns when none was doing it. What I saw in Delhi's Hauz Qazi today would have left me numb if not for my earlier experiences and observations. Report soon	TN	TN
TN	NONE	#Dhoni in action in Indian occupied Kashmir. @ICC 	TN	TN
TP	OFFN	RT @loonaonethird: bruh shut the fuck up aint u supposed to be straight in this drama https://t.co/in2JAeb5Vr	TP	TP
TN	NONE	"""""""RT @TheStevenWeber: What if the infamous """"""""Pee Tape"""""""" is like the video in The Ring, only instead of dying when you watch it, you have to mak…"""""""	TN	TN
TN	NONE	@Chamber45 Moneys always an object, just a case of investing properly rather than wasting it on sumfin il need to r… https://t.co/tN7CO8KTeV	TN	TN
TN	NONE	@ShinyTidePod13 @taylortoimpress @taylornation13 Yes. I agree. She’s probably had that outfit for months. Anticipat… https://t.co/zDVacShZpt	TN	TN
TP	PRFN	RT @kolokomiks: should i pursue a relationship with someone who doesn't watch game of thrones? — why the fuck should that be a criteria htt…	FN	FN
TP	OFFN	Halala was never part of islam lekin halala ke naam par mulle khoob maje le rabe tumahri maa behan beti ke aur tum bhi maje se dekh rahe unki izzat lutate huye. Aise to baat baat par bomd fod dete ho lekin ek bhi muslim londa inn mullon ke against kuch nahi bolta. Dhikkar hai	FN	FN
TN	NONE	The most underrated show EVER!!	TN	TN
TN	NONE	RT @iam_juhi: 'Art of Letting Go' as a mother. It's taken a while to get there 😇 Grab your copy of @TLJluxurymag, May 2019 edition! https:/…	TN	TN
TP	PRFN	@JediofGallifrey Miss me with that shit	TP	TP
TP	OFFN	If a nigga keep going to jail I’m just going to assume he’s gay	TP	FN
TN	NONE	Delivering a letter signed by 3000 to @SenSchumer #InternationalMigrantsDay #RefugeesAreWelcome 	TN	TN
TP	HATE	Madam ji pls also raise your loud voice against the exodus of Kashmiri pandits by your so called 'डरा हुआ मुसलमान ' who raped,butchered,acid attacked hindu women just because of their religion..pls also raise your voice against the slogan'kashmir mein rehna hai toh Allah hu akbar	FN	FN
TP	HATE	Bye Bye you foolish app..  Now sell your shit to these halala chaaps only !    #boycottzomato	TP	TP
TN	NONE	87 year old Charulata Patel who was seen cheering for India in the stands during #BANvIND match: I have been watching cricket for last many decades, from the time I was in Africa. Earlier I used to watch on TV when I was working, but now that I am retired I watch it live. #CWC19	TN	TN
TP	PRFN	No exes, no old niggas. Ain’t stuck on nobody, not rekindling shit. I’m free 😌🤣	TP	TP
